Grupo1	Grupo2	Metrica	G1_variable_1	G1_variable_2	G1_variable_3	G1_variable_4	G2_variable_1	G2_variable_2	G2_variable_3	G2_variable_4	Wilcoxon_estadistico	Wilcoxon_valor-p
t_wa_recall_raw_3:1_it1	t_wa_recall_stand_2:1_it1	recall	it1	3:1	raw	[]	it1	2:1	stand	[]	3.0	0.0390625
t_wa_recall_raw_3:1_it1	t_wa_recall_stand_1:2_it3	recall	it1	3:1	raw	[]	it3	1:2	stand	[]	0.0	0.0078125
t_wa_recall_raw_3:1_it1	t_wa_recall_stand_1:2_it2	recall	it1	3:1	raw	[]	it2	1:2	stand	[]	2.0	0.0234375
t_wa_recall_raw_3:1_it1	t_wa_recall_stand_1:2_it1	recall	it1	3:1	raw	[]	it1	1:2	stand	[]	0.0	0.0078125
t_wa_recall_raw_3:1_it1	t_wa_recall_stand_1:3_it3	recall	it1	3:1	raw	[]	it3	1:3	stand	[]	0.0	0.0078125
t_wa_recall_raw_3:1_it1	t_wa_recall_stand_1:3_it2	recall	it1	3:1	raw	[]	it2	1:3	stand	[]	0.0	0.0078125
t_wa_recall_raw_3:1_it1	t_wa_recall_stand_1:3_it1	recall	it1	3:1	raw	[]	it1	1:3	stand	[]	1.0	0.015625
t_wa_recall_raw_3:1_it1	t_wa_recall_norm_3:1_it3	recall	it1	3:1	raw	[]	it3	3:1	norm	[]	0.0	0.0078125
t_wa_recall_raw_3:1_it1	t_wa_recall_norm_3:1_it2	recall	it1	3:1	raw	[]	it2	3:1	norm	[]	0.0	0.0078125
t_wa_recall_raw_3:1_it1	t_wa_recall_norm_3:1_it1	recall	it1	3:1	raw	[]	it1	3:1	norm	[]	0.0	0.0078125
t_wa_recall_raw_3:1_it1	t_wa_recall_norm_1:1_it3	recall	it1	3:1	raw	[]	it3	1:1	norm	[]	0.0	0.0078125
t_wa_recall_raw_3:1_it1	t_wa_recall_norm_1:1_it2	recall	it1	3:1	raw	[]	it2	1:1	norm	[]	0.0	0.0078125
t_wa_recall_raw_3:1_it1	t_wa_recall_norm_1:1_it1	recall	it1	3:1	raw	[]	it1	1:1	norm	[]	0.0	0.0078125
t_wa_recall_raw_3:1_it1	t_wa_recall_norm_2:1_it3	recall	it1	3:1	raw	[]	it3	2:1	norm	[]	0.0	0.0078125
t_wa_recall_raw_3:1_it1	t_wa_recall_norm_2:1_it2	recall	it1	3:1	raw	[]	it2	2:1	norm	[]	0.0	0.0078125
t_wa_recall_raw_3:1_it1	t_wa_recall_norm_2:1_it1	recall	it1	3:1	raw	[]	it1	2:1	norm	[]	0.0	0.0078125
t_wa_recall_raw_3:1_it1	t_wa_recall_norm_1:2_it3	recall	it1	3:1	raw	[]	it3	1:2	norm	[]	1.0	0.015625
t_wa_recall_raw_3:1_it1	t_wa_recall_norm_1:2_it2	recall	it1	3:1	raw	[]	it2	1:2	norm	[]	1.0	0.015625
t_wa_recall_raw_3:1_it1	t_wa_recall_norm_1:2_it1	recall	it1	3:1	raw	[]	it1	1:2	norm	[]	3.0	0.0390625
t_wa_recall_raw_3:1_it1	t_wa_recall_norm_1:3_it3	recall	it1	3:1	raw	[]	it3	1:3	norm	[]	1.0	0.015625
t_wa_recall_raw_3:1_it1	t_wa_recall_norm_1:3_it2	recall	it1	3:1	raw	[]	it2	1:3	norm	[]	1.0	0.015625
t_wa_recall_raw_3:1_it1	t_wa_recall_norm_1:3_it1	recall	it1	3:1	raw	[]	it1	1:3	norm	[]	1.0	0.015625
t_wa_recall_raw_1:1_it3	t_wa_recall_raw_1:1_it2	recall	it3	1:1	raw	[]	it2	1:1	raw	[]	12.0	0.4609375
t_wa_recall_raw_1:1_it3	t_wa_recall_raw_1:1_it1	recall	it3	1:1	raw	[]	it1	1:1	raw	[]	13.0	0.546875
t_wa_recall_raw_1:1_it3	t_wa_recall_raw_2:1_it3	recall	it3	1:1	raw	[]	it3	2:1	raw	[]	17.0	0.9453125
t_wa_recall_raw_1:1_it3	t_wa_recall_raw_2:1_it2	recall	it3	1:1	raw	[]	it2	2:1	raw	[]	6.5	0.109375
t_wa_recall_raw_1:1_it3	t_wa_recall_raw_2:1_it1	recall	it3	1:1	raw	[]	it1	2:1	raw	[]	9.0	0.25
t_wa_recall_raw_1:1_it3	t_wa_recall_raw_1:2_it3	recall	it3	1:1	raw	[]	it3	1:2	raw	[]	11.0	0.3828125
t_wa_recall_raw_1:1_it3	t_wa_recall_raw_1:2_it2	recall	it3	1:1	raw	[]	it2	1:2	raw	[]	12.0	0.4609375
t_wa_recall_raw_1:1_it3	t_wa_recall_raw_1:2_it1	recall	it3	1:1	raw	[]	it1	1:2	raw	[]	18.0	1.0
t_wa_recall_raw_1:1_it3	t_wa_recall_raw_1:3_it3	recall	it3	1:1	raw	[]	it3	1:3	raw	[]	11.0	0.3828125
t_wa_recall_raw_1:1_it3	t_wa_recall_raw_1:3_it2	recall	it3	1:1	raw	[]	it2	1:3	raw	[]	14.0	0.640625
t_wa_recall_raw_1:1_it3	t_wa_recall_raw_1:3_it1	recall	it3	1:1	raw	[]	it1	1:3	raw	[]	11.0	0.3828125
t_wa_recall_raw_1:1_it3	t_wa_recall_stand_3:1_it3	recall	it3	1:1	raw	[]	it3	3:1	stand	[]	0.0	0.0078125
t_wa_recall_raw_1:1_it3	t_wa_recall_stand_3:1_it2	recall	it3	1:1	raw	[]	it2	3:1	stand	[]	0.0	0.0078125
t_wa_recall_raw_1:1_it3	t_wa_recall_stand_3:1_it1	recall	it3	1:1	raw	[]	it1	3:1	stand	[]	1.0	0.015625
t_wa_recall_raw_1:1_it3	t_wa_recall_stand_1:1_it3	recall	it3	1:1	raw	[]	it3	1:1	stand	[]	2.0	0.0234375
t_wa_recall_raw_1:1_it3	t_wa_recall_stand_1:1_it2	recall	it3	1:1	raw	[]	it2	1:1	stand	[]	11.0	0.3828125
t_wa_recall_raw_1:1_it3	t_wa_recall_stand_1:1_it1	recall	it3	1:1	raw	[]	it1	1:1	stand	[]	10.0	0.3125
t_wa_recall_raw_1:1_it3	t_wa_recall_stand_2:1_it3	recall	it3	1:1	raw	[]	it3	2:1	stand	[]	1.0	0.015625
t_wa_recall_raw_1:1_it3	t_wa_recall_stand_2:1_it2	recall	it3	1:1	raw	[]	it2	2:1	stand	[]	3.0	0.0390625
t_wa_recall_raw_1:1_it3	t_wa_recall_stand_2:1_it1	recall	it3	1:1	raw	[]	it1	2:1	stand	[]	5.0	0.1281901743451078
t_wa_recall_raw_1:1_it3	t_wa_recall_stand_1:2_it3	recall	it3	1:1	raw	[]	it3	1:2	stand	[]	2.0	0.0234375
t_wa_recall_raw_1:1_it3	t_wa_recall_stand_1:2_it2	recall	it3	1:1	raw	[]	it2	1:2	stand	[]	10.0	0.3125
t_wa_recall_raw_1:1_it3	t_wa_recall_stand_1:2_it1	recall	it3	1:1	raw	[]	it1	1:2	stand	[]	1.0	0.015625
t_wa_recall_raw_1:1_it3	t_wa_recall_stand_1:3_it3	recall	it3	1:1	raw	[]	it3	1:3	stand	[]	1.0	0.015625
t_wa_recall_raw_1:1_it3	t_wa_recall_stand_1:3_it2	recall	it3	1:1	raw	[]	it2	1:3	stand	[]	1.0	0.015625
t_wa_recall_raw_1:1_it3	t_wa_recall_stand_1:3_it1	recall	it3	1:1	raw	[]	it1	1:3	stand	[]	1.0	0.015625
t_wa_recall_raw_1:1_it3	t_wa_recall_norm_3:1_it3	recall	it3	1:1	raw	[]	it3	3:1	norm	[]	1.0	0.015625
t_wa_recall_raw_1:1_it3	t_wa_recall_norm_3:1_it2	recall	it3	1:1	raw	[]	it2	3:1	norm	[]	0.0	0.0078125
t_wa_recall_raw_1:1_it3	t_wa_recall_norm_3:1_it1	recall	it3	1:1	raw	[]	it1	3:1	norm	[]	5.0	0.078125
t_wa_recall_raw_1:1_it3	t_wa_recall_norm_1:1_it3	recall	it3	1:1	raw	[]	it3	1:1	norm	[]	3.0	0.0390625
t_wa_recall_raw_1:1_it3	t_wa_recall_norm_1:1_it2	recall	it3	1:1	raw	[]	it2	1:1	norm	[]	4.0	0.0546875
t_wa_recall_raw_1:1_it3	t_wa_recall_norm_1:1_it1	recall	it3	1:1	raw	[]	it1	1:1	norm	[]	7.0	0.1484375
t_wa_recall_raw_1:1_it3	t_wa_recall_norm_2:1_it3	recall	it3	1:1	raw	[]	it3	2:1	norm	[]	1.0	0.015625
t_wa_recall_raw_1:1_it3	t_wa_recall_norm_2:1_it2	recall	it3	1:1	raw	[]	it2	2:1	norm	[]	0.0	0.0078125
t_wa_recall_raw_1:1_it3	t_wa_recall_norm_2:1_it1	recall	it3	1:1	raw	[]	it1	2:1	norm	[]	0.0	0.0078125
t_wa_recall_raw_1:1_it3	t_wa_recall_norm_1:2_it3	recall	it3	1:1	raw	[]	it3	1:2	norm	[]	0.0	0.0078125
t_wa_recall_raw_1:1_it3	t_wa_recall_norm_1:2_it2	recall	it3	1:1	raw	[]	it2	1:2	norm	[]	2.0	0.0234375
t_wa_recall_raw_1:1_it3	t_wa_recall_norm_1:2_it1	recall	it3	1:1	raw	[]	it1	1:2	norm	[]	9.0	0.25
t_wa_recall_raw_1:1_it3	t_wa_recall_norm_1:3_it3	recall	it3	1:1	raw	[]	it3	1:3	norm	[]	5.0	0.078125
t_wa_recall_raw_1:1_it3	t_wa_recall_norm_1:3_it2	recall	it3	1:1	raw	[]	it2	1:3	norm	[]	1.0	0.015625
t_wa_recall_raw_1:1_it3	t_wa_recall_norm_1:3_it1	recall	it3	1:1	raw	[]	it1	1:3	norm	[]	0.0	0.0078125
t_wa_recall_raw_1:1_it2	t_wa_recall_raw_1:1_it1	recall	it2	1:1	raw	[]	it1	1:1	raw	[]	12.0	0.4609375
t_wa_recall_raw_1:1_it2	t_wa_recall_raw_2:1_it3	recall	it2	1:1	raw	[]	it3	2:1	raw	[]	14.0	0.640625
t_wa_recall_raw_1:1_it2	t_wa_recall_raw_2:1_it2	recall	it2	1:1	raw	[]	it2	2:1	raw	[]	12.0	0.4609375
t_wa_recall_raw_1:1_it2	t_wa_recall_raw_2:1_it1	recall	it2	1:1	raw	[]	it1	2:1	raw	[]	11.0	0.3828125
t_wa_recall_raw_1:1_it2	t_wa_recall_raw_1:2_it3	recall	it2	1:1	raw	[]	it3	1:2	raw	[]	5.0	0.078125
t_wa_recall_raw_1:1_it2	t_wa_recall_raw_1:2_it2	recall	it2	1:1	raw	[]	it2	1:2	raw	[]	7.0	0.1484375
t_wa_recall_raw_1:1_it2	t_wa_recall_raw_1:2_it1	recall	it2	1:1	raw	[]	it1	1:2	raw	[]	8.0	0.3104944343172349
t_wa_recall_raw_1:1_it2	t_wa_recall_raw_1:3_it3	recall	it2	1:1	raw	[]	it3	1:3	raw	[]	9.0	0.25
t_wa_recall_raw_1:1_it2	t_wa_recall_raw_1:3_it2	recall	it2	1:1	raw	[]	it2	1:3	raw	[]	5.0	0.078125
t_wa_recall_raw_1:1_it2	t_wa_recall_raw_1:3_it1	recall	it2	1:1	raw	[]	it1	1:3	raw	[]	8.0	0.1953125
t_wa_recall_raw_1:1_it2	t_wa_recall_stand_3:1_it3	recall	it2	1:1	raw	[]	it3	3:1	stand	[]	0.0	0.0078125
